Abril,Agosto,Diciembre,Enero,Febrero,Indicador,Julio,Junio,Marzo,Mayo,cvegeomuni,Noviembre,Octubre,Septiembre,Unidad de Medida
0,0,,0,0,Casos de Dengue,0,0,0,0,14001,,,0,Casos
0,2,,0,0,Casos de Dengue,1,0,0,0,14002,,,6,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14003,,,1,Casos
0,12,,0,0,Casos de Dengue,10,8,0,0,14004,,,19,Casos
0,25,,0,0,Casos de Dengue,3,1,0,1,14005,,,38,Casos
0,13,,0,0,Casos de Dengue,4,1,0,0,14006,,,33,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14008,,,0,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14010,,,0,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14011,,,0,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14012,,,0,Casos
0,2,,0,0,Casos de Dengue,1,0,0,0,14013,,,4,Casos
0,64,,0,0,Casos de Dengue,50,30,0,0,14014,,,75,Casos
4,42,,0,1,Casos de Dengue,18,13,1,9,14015,,,86,Casos
0,46,,0,0,Casos de Dengue,36,16,0,1,14016,,,75,Casos
0,1,,0,0,Casos de Dengue,0,0,0,0,14017,,,2,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14019,,,1,Casos
1,8,,0,0,Casos de Dengue,8,7,0,6,14020,,,10,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14117,,,0,Casos
11,14,,5,8,Casos de Dengue,13,12,10,11,14021,,,19,Casos
0,18,,0,0,Casos de Dengue,3,0,0,0,14030,,,28,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14031,,,1,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14032,,,0,Casos
6,44,,2,4,Casos de Dengue,23,11,5,6,14022,,,85,Casos
0,6,,0,0,Casos de Dengue,4,0,0,0,14024,,,9,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14025,,,8,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14026,,,0,Casos
13,47,,10,11,Casos de Dengue,34,27,12,23,14027,,,59,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14028,,,0,Casos
0,1,,0,0,Casos de Dengue,0,0,0,0,14029,,,3,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14033,,,0,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14034,,,0,Casos
0,27,,0,0,Casos de Dengue,22,13,0,1,14009,,,36,Casos
1,8,,0,1,Casos de Dengue,4,3,1,1,14037,,,33,Casos
1,2,,0,1,Casos de Dengue,1,1,1,1,14054,,,4,Casos
0,52,,0,0,Casos de Dengue,8,2,0,0,14070,,,142,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14035,,,0,Casos
0,2,,0,0,Casos de Dengue,1,0,0,0,14036,,,2,Casos
0,5,,0,0,Casos de Dengue,0,0,0,0,14079,,,8,Casos
0,2,,0,0,Casos de Dengue,2,0,0,0,14038,,,2,Casos
8,1040,,2,3,Casos de Dengue,385,97,3,15,14039,,,2085,Casos
0,2,,0,0,Casos de Dengue,2,0,0,0,14040,,,9,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14041,,,0,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14042,,,2,Casos
0,6,,0,0,Casos de Dengue,3,1,0,0,14044,,,10,Casos
0,3,,0,0,Casos de Dengue,0,0,0,0,14045,,,10,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14046,,,0,Casos
0,4,,0,0,Casos de Dengue,4,2,0,0,14047,,,8,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14048,,,0,Casos
0,3,,0,0,Casos de Dengue,0,0,0,0,14049,,,11,Casos
0,25,,0,0,Casos de Dengue,17,1,0,0,14050,,,59,Casos
0,1,,0,0,Casos de Dengue,0,0,0,0,14051,,,3,Casos
0,1,,0,0,Casos de Dengue,0,0,0,0,14052,,,1,Casos
1,114,,0,0,Casos de Dengue,86,59,0,19,14018,,,160,Casos
2,14,,0,0,Casos de Dengue,4,2,2,2,14043,,,35,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14057,,,0,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14053,,,1,Casos
0,2,,0,0,Casos de Dengue,0,0,0,0,14055,,,11,Casos
0,3,,0,0,Casos de Dengue,0,0,0,0,14058,,,9,Casos
0,2,,0,0,Casos de Dengue,1,1,0,0,14059,,,2,Casos
0,2,,0,0,Casos de Dengue,0,0,0,0,14060,,,4,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14061,,,1,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14062,,,0,Casos
0,4,,0,0,Casos de Dengue,3,1,0,0,14063,,,22,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14064,,,3,Casos
1,23,,0,0,Casos de Dengue,13,5,1,1,14065,,,42,Casos
0,48,,0,0,Casos de Dengue,33,14,0,1,14066,,,70,Casos
67,216,,15,27,Casos de Dengue,137,120,45,104,14067,,,354,Casos
0,1,,0,0,Casos de Dengue,1,1,0,0,14069,,,2,Casos
0,4,,0,0,Casos de Dengue,0,0,0,0,14071,,,10,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14072,,,0,Casos
0,6,,0,0,Casos de Dengue,1,0,0,0,14113,,,16,Casos
0,1,,0,0,Casos de Dengue,0,0,0,0,14125,,,1,Casos
0,3,,0,0,Casos de Dengue,0,0,0,0,14073,,,11,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14007,,,0,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14074,,,1,Casos
0,1,,0,0,Casos de Dengue,0,0,0,0,14075,,,1,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14076,,,0,Casos
0,4,,0,0,Casos de Dengue,0,0,0,0,14077,,,9,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14078,,,0,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14098,,,1,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14080,,,0,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14081,,,0,Casos
0,57,,0,0,Casos de Dengue,26,6,0,1,14056,,,71,Casos
0,3,,0,0,Casos de Dengue,0,0,0,0,14082,,,34,Casos
0,34,,0,0,Casos de Dengue,9,4,0,2,14083,,,44,Casos
0,7,,0,0,Casos de Dengue,2,1,0,0,14084,,,31,Casos
0,2,,0,0,Casos de Dengue,0,0,0,0,14085,,,2,Casos
0,11,,0,0,Casos de Dengue,2,1,0,0,14086,,,21,Casos
0,3,,0,0,Casos de Dengue,2,0,0,0,14087,,,4,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14089,,,1,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14088,,,0,Casos
0,1,,0,0,Casos de Dengue,1,1,0,0,14090,,,1,Casos
0,5,,0,0,Casos de Dengue,1,1,0,0,14091,,,7,Casos
0,3,,0,0,Casos de Dengue,0,0,0,0,14092,,,5,Casos
0,13,,0,0,Casos de Dengue,6,5,0,5,14093,,,26,Casos
0,1,,0,0,Casos de Dengue,1,1,0,0,14094,,,4,Casos
0,2,,0,0,Casos de Dengue,0,0,0,0,14095,,,5,Casos
4,132,,2,4,Casos de Dengue,40,8,4,4,14096,,,255,Casos
2,667,,1,1,Casos de Dengue,262,50,2,6,14097,,,1265,Casos
3,83,,0,1,Casos de Dengue,68,32,2,6,14099,,,95,Casos
3,11,,2,2,Casos de Dengue,3,3,3,3,14100,,,27,Casos
0,186,,0,0,Casos de Dengue,59,5,0,0,14101,,,383,Casos
0,1,,0,0,Casos de Dengue,0,0,0,0,14102,,,3,Casos
1,7,,1,1,Casos de Dengue,2,1,1,1,14103,,,10,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14104,,,0,Casos
0,3,,0,0,Casos de Dengue,0,0,0,0,14105,,,9,Casos
0,6,,0,0,Casos de Dengue,0,0,0,0,14106,,,11,Casos
0,10,,0,0,Casos de Dengue,4,0,0,0,14107,,,26,Casos
1,42,,0,1,Casos de Dengue,19,7,1,2,14108,,,78,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14109,,,0,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14110,,,2,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14111,,,0,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14112,,,0,Casos
0,6,,0,0,Casos de Dengue,1,0,0,0,14114,,,12,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14115,,,0,Casos
0,0,,0,0,Casos de Dengue,0,0,0,0,14116,,,0,Casos
1,3,,0,0,Casos de Dengue,2,1,0,1,14068,,,7,Casos
0,4,,0,0,Casos de Dengue,0,0,0,0,14118,,,7,Casos
0,16,,0,0,Casos de Dengue,3,1,0,0,14119,,,23,Casos
0,560,,0,0,Casos de Dengue,201,40,0,3,14120,,,1087,Casos
0,18,,0,0,Casos de Dengue,6,4,0,3,14121,,,32,Casos
6,45,,1,3,Casos de Dengue,26,13,4,9,14122,,,46,Casos
0,1,,0,0,Casos de Dengue,1,0,0,0,14123,,,5,Casos
0,40,,0,0,Casos de Dengue,15,1,0,0,14023,,,86,Casos
0,16,,0,0,Casos de Dengue,3,2,0,1,14124,,,39,Casos
