Abril,Agosto,Diciembre,Enero,Febrero,Indicador,Julio,Junio,Marzo,Mayo,cvegeomuni,Noviembre,Octubre,Septiembre,Unidad de Medida
0,0,0,0,0,Casos de Dengue,0,0,0,0,14001,0,0,0,Casos
0,0,6,0,0,Casos de Dengue,0,0,0,0,14002,6,6,5,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14003,0,0,0,Casos
0,0,3,0,0,Casos de Dengue,0,0,0,0,14004,0,0,0,Casos
1,1,3,0,0,Casos de Dengue,1,1,1,1,14005,2,2,1,Casos
2,59,99,0,0,Casos de Dengue,50,29,0,2,14006,90,86,76,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14008,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14010,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14011,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14012,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14013,0,0,0,Casos
0,2,6,0,0,Casos de Dengue,0,0,0,0,14014,4,3,2,Casos
4,16,43,0,4,Casos de Dengue,15,6,4,4,14015,35,34,26,Casos
1,1,2,0,0,Casos de Dengue,1,1,1,1,14016,1,1,1,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14017,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14019,0,0,0,Casos
3,10,34,0,1,Casos de Dengue,10,10,2,3,14020,28,27,20,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14117,0,0,0,Casos
0,3,16,0,0,Casos de Dengue,3,2,0,2,14021,15,12,8,Casos
0,17,52,0,0,Casos de Dengue,13,3,0,0,14030,47,47,43,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14031,0,0,0,Casos
0,0,1,0,0,Casos de Dengue,0,0,0,0,14032,1,1,0,Casos
0,2,9,0,0,Casos de Dengue,1,0,0,0,14022,8,8,4,Casos
0,0,10,0,0,Casos de Dengue,0,0,0,0,14024,4,3,1,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14025,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14026,0,0,0,Casos
1,5,13,0,0,Casos de Dengue,4,3,1,1,14027,11,11,6,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14028,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14029,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14033,0,0,0,Casos
0,0,3,0,0,Casos de Dengue,0,0,0,0,14034,1,1,1,Casos
0,0,7,0,0,Casos de Dengue,0,0,0,0,14009,5,4,0,Casos
0,5,8,0,0,Casos de Dengue,4,3,0,2,14037,8,8,7,Casos
0,1,13,0,0,Casos de Dengue,1,1,0,1,14054,13,12,11,Casos
1,1,33,0,0,Casos de Dengue,1,1,1,1,14070,9,5,1,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14035,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14036,0,0,0,Casos
1,1,2,0,0,Casos de Dengue,1,1,1,1,14079,2,2,1,Casos
0,0,1,0,0,Casos de Dengue,0,0,0,0,14038,1,1,1,Casos
21,41,361,7,14,Casos de Dengue,29,25,19,22,14039,191,159,87,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14040,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14041,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14042,0,0,0,Casos
0,0,16,0,0,Casos de Dengue,0,0,0,0,14044,11,10,6,Casos
0,0,6,0,0,Casos de Dengue,0,0,0,0,14045,6,6,1,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14046,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14047,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14048,0,0,0,Casos
0,1,4,0,0,Casos de Dengue,1,1,0,1,14049,1,1,1,Casos
0,16,28,0,0,Casos de Dengue,4,0,0,0,14050,26,26,25,Casos
1,1,5,0,0,Casos de Dengue,1,1,1,1,14051,2,1,1,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14052,0,0,0,Casos
1,2,5,0,0,Casos de Dengue,1,1,1,1,14018,2,2,2,Casos
0,1,33,0,0,Casos de Dengue,1,1,0,0,14043,24,16,6,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14057,0,0,0,Casos
0,1,1,0,0,Casos de Dengue,1,0,0,0,14053,1,1,1,Casos
0,2,5,0,0,Casos de Dengue,0,0,0,0,14055,5,5,3,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14058,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14059,0,0,0,Casos
0,1,1,0,0,Casos de Dengue,1,0,0,0,14060,1,1,1,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14061,0,0,0,Casos
0,0,1,0,0,Casos de Dengue,0,0,0,0,14062,1,1,0,Casos
0,1,6,0,0,Casos de Dengue,0,0,0,0,14063,1,1,1,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14064,0,0,0,Casos
0,6,11,0,0,Casos de Dengue,1,1,0,1,14065,8,8,6,Casos
0,0,21,0,0,Casos de Dengue,0,0,0,0,14066,6,6,0,Casos
43,68,113,3,26,Casos de Dengue,64,62,31,54,14067,94,92,82,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14069,0,0,0,Casos
0,0,3,0,0,Casos de Dengue,0,0,0,0,14071,3,3,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14072,0,0,0,Casos
2,4,8,0,0,Casos de Dengue,2,2,2,2,14113,7,7,7,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14125,0,0,0,Casos
0,1,1,0,0,Casos de Dengue,0,0,0,0,14073,1,1,1,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14007,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14074,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14075,0,0,0,Casos
0,0,4,0,0,Casos de Dengue,0,0,0,0,14076,0,0,0,Casos
0,0,11,0,0,Casos de Dengue,0,0,0,0,14077,10,9,4,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14078,0,0,0,Casos
0,1,1,0,0,Casos de Dengue,1,1,0,0,14098,1,1,1,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14080,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14081,0,0,0,Casos
1,43,60,0,0,Casos de Dengue,16,5,1,3,14056,58,58,53,Casos
0,0,5,0,0,Casos de Dengue,0,0,0,0,14082,5,4,2,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14083,0,0,0,Casos
1,11,58,0,1,Casos de Dengue,4,3,1,1,14084,46,40,28,Casos
0,1,1,0,0,Casos de Dengue,1,0,0,0,14085,1,1,1,Casos
0,1,12,0,0,Casos de Dengue,1,0,0,0,14086,7,7,4,Casos
0,0,2,0,0,Casos de Dengue,0,0,0,0,14087,2,2,0,Casos
0,0,5,0,0,Casos de Dengue,0,0,0,0,14089,4,4,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14088,0,0,0,Casos
0,0,1,0,0,Casos de Dengue,0,0,0,0,14090,1,0,0,Casos
0,45,71,0,0,Casos de Dengue,31,13,0,0,14091,66,66,62,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14092,0,0,0,Casos
1,2,11,0,0,Casos de Dengue,2,1,1,1,14093,7,5,2,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14094,0,0,0,Casos
0,0,1,0,0,Casos de Dengue,0,0,0,0,14095,0,0,0,Casos
1,6,22,1,1,Casos de Dengue,3,1,1,1,14096,16,15,12,Casos
13,33,100,4,11,Casos de Dengue,30,18,12,14,14097,68,62,47,Casos
1,5,13,0,1,Casos de Dengue,5,4,1,3,14099,11,10,6,Casos
33,42,56,0,17,Casos de Dengue,41,39,28,39,14100,52,52,49,Casos
6,14,66,0,4,Casos de Dengue,14,10,6,6,14101,38,32,19,Casos
0,0,6,0,0,Casos de Dengue,0,0,0,0,14102,3,0,0,Casos
0,0,1,0,0,Casos de Dengue,0,0,0,0,14103,1,1,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14104,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14105,0,0,0,Casos
