Abril,Agosto,Diciembre,Enero,Febrero,Indicador,Julio,Junio,Marzo,Mayo,cvegeomuni,Noviembre,Octubre,Septiembre,Unidad de Medida
0,0,3,0,0,Casos de Dengue,0,0,0,0,14001,3,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14002,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14003,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14004,0,0,0,Casos
1,1,4,1,1,Casos de Dengue,1,1,1,1,14005,3,3,1,Casos
0,0,1,0,0,Casos de Dengue,0,0,0,0,14006,1,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14008,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14010,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14011,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14012,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14013,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14014,0,0,0,Casos
0,0,3,0,0,Casos de Dengue,0,0,0,0,14015,3,2,0,Casos
0,0,1,0,0,Casos de Dengue,0,0,0,0,14016,1,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14017,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14019,0,0,0,Casos
0,0,1,0,0,Casos de Dengue,0,0,0,0,14020,1,1,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14117,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14021,0,0,0,Casos
0,0,3,0,0,Casos de Dengue,0,0,0,0,14030,3,2,0,Casos
0,0,1,0,0,Casos de Dengue,0,0,0,0,14031,1,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14032,0,0,0,Casos
3,3,8,0,1,Casos de Dengue,3,3,3,3,14022,7,6,5,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14024,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14025,0,0,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14026,0,0,0,Casos
0,0,4,0,0,Casos de Dengue,0,0,0,0,14027,2,1,0,Casos
0,0,0,0,0,Casos de Dengue,0,0,0,0,14028,0,0,0,Casos
